Qualification results
  models/ga/remote3/pop200-runs1-0486.np: 119 diamonds
  models/ga/remote3/pop200-runs1-0334.np: 117 diamonds
  models/ga/remote3/pop200-runs1-0620.np: 116 diamonds
  models/ga/remote3/pop200-runs1-0651.np: 116 diamonds
  models/ga/remote3/pop200-runs1-0524.np: 113 diamonds
  models/ga/remote3/pop200-runs1-0669.np: 113 diamonds
  models/ga/remote3/pop200-runs1-0552.np: 112 diamonds
  models/ga/remote3/pop200-runs1-0553.np: 112 diamonds
  models/ga/remote3/pop200-runs1-0656.np: 112 diamonds
  models/ga/remote3/pop200-runs1-0665.np: 112 diamonds
  models/ga/remote3/pop200-runs1-0348.np: 110 diamonds
  models/ga/remote3/pop200-runs1-0430.np: 110 diamonds
  models/ga/remote3/pop200-runs1-0589.np: 110 diamonds
  models/ga/remote3/pop200-runs1-0675.np: 110 diamonds
  models/ga/remote3/pop200-runs1-0364.np: 109 diamonds
  models/ga/remote3/pop200-runs1-0218.np: 108 diamonds
  models/ga/remote3/pop200-runs1-0369.np: 108 diamonds
  models/ga/remote3/pop200-runs1-0528.np: 108 diamonds
  models/ga/remote3/pop200-runs1-0644.np: 108 diamonds
  models/ga/remote3/pop200-runs1-0357.np: 107 diamonds
  models/ga/remote3/pop200-runs1-0397.np: 107 diamonds
  models/ga/remote3/pop200-runs1-0536.np: 107 diamonds
  models/ga/remote3/pop200-runs1-0315.np: 106 diamonds
  models/ga/remote3/pop200-runs1-0401.np: 106 diamonds
  models/ga/remote3/pop200-runs1-0424.np: 105 diamonds
  models/ga/remote3/pop200-runs1-0525.np: 105 diamonds
  models/ga/remote3/pop200-runs1-0345.np: 104 diamonds
  models/ga/remote3/pop200-runs1-0346.np: 104 diamonds
  models/ga/remote3/pop200-runs1-0463.np: 104 diamonds
  models/ga/remote3/pop200-runs1-0622.np: 104 diamonds
  models/ga/remote3/pop200-runs1-0662.np: 104 diamonds
  models/ga/remote3/pop200-runs1-0338.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0339.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0377.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0399.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0590.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0611.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0624.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0674.np: 103 diamonds
  models/ga/remote3/pop200-runs1-0361.np: 102 diamonds
  models/ga/remote3/pop200-runs1-0382.np: 102 diamonds
  models/ga/remote3/pop200-runs1-0459.np: 102 diamonds
  models/ga/remote3/pop200-runs1-0467.np: 102 diamonds
  models/ga/remote3/pop200-runs1-0667.np: 102 diamonds
  models/ga/remote3/pop200-runs1-0307.np: 101 diamonds
  models/ga/remote3/pop200-runs1-0350.np: 101 diamonds
  models/ga/remote3/pop200-runs1-0433.np: 101 diamonds
  models/ga/remote3/pop200-runs1-0512.np: 101 diamonds
  models/ga/remote3/pop200-runs1-0183.np: 100 diamonds
  models/ga/remote3/pop200-runs1-0252.np: 100 diamonds
Tournament results:
  models/ga/remote3/pop200-runs1-0350.np: 29 wins
  models/ga/remote3/pop200-runs1-0334.np: 29 wins
  models/ga/remote3/pop200-runs1-0590.np: 28 wins
  models/ga/remote3/pop200-runs1-0611.np: 28 wins
  models/ga/remote3/pop200-runs1-0433.np: 27 wins
  models/ga/remote3/pop200-runs1-0553.np: 26 wins
  models/ga/remote3/pop200-runs1-0348.np: 26 wins
  models/ga/remote3/pop200-runs1-0183.np: 25 wins
  models/ga/remote3/pop200-runs1-0524.np: 25 wins
  models/ga/remote3/pop200-runs1-0486.np: 24 wins
  models/ga/remote3/pop200-runs1-0552.np: 24 wins
  models/ga/remote3/pop200-runs1-0463.np: 24 wins
  models/ga/remote3/pop200-runs1-0339.np: 24 wins
  models/ga/remote3/pop200-runs1-0620.np: 23 wins
  models/ga/remote3/pop200-runs1-0644.np: 23 wins
  models/ga/remote3/pop200-runs1-0397.np: 23 wins
  models/ga/remote3/pop200-runs1-0662.np: 23 wins
  models/ga/remote3/pop200-runs1-0669.np: 22 wins
  models/ga/remote3/pop200-runs1-0528.np: 22 wins
  models/ga/remote3/pop200-runs1-0624.np: 22 wins
  models/ga/remote3/pop200-runs1-0424.np: 22 wins
  models/ga/remote3/pop200-runs1-0338.np: 22 wins
  models/ga/remote3/pop200-runs1-0252.np: 22 wins
  models/ga/remote3/pop200-runs1-0364.np: 21 wins
  models/ga/remote3/pop200-runs1-0357.np: 21 wins
  models/ga/remote3/pop200-runs1-0346.np: 21 wins
  models/ga/remote3/pop200-runs1-0401.np: 21 wins
  models/ga/remote3/pop200-runs1-0675.np: 21 wins
  models/ga/remote3/pop200-runs1-0218.np: 20 wins
  models/ga/remote3/pop200-runs1-0656.np: 20 wins
  models/ga/remote3/pop200-runs1-0369.np: 20 wins
  models/ga/remote3/pop200-runs1-0430.np: 19 wins
  models/ga/remote3/pop200-runs1-0674.np: 19 wins
  models/ga/remote3/pop200-runs1-0589.np: 19 wins
  models/ga/remote3/pop200-runs1-0345.np: 19 wins
  models/ga/remote3/pop200-runs1-0467.np: 18 wins
  models/ga/remote3/pop200-runs1-0665.np: 18 wins
  models/ga/remote3/pop200-runs1-0307.np: 18 wins
  models/ga/remote3/pop200-runs1-0651.np: 18 wins
  models/ga/remote3/pop200-runs1-0536.np: 18 wins
  models/ga/remote3/pop200-runs1-0622.np: 18 wins
  models/ga/remote3/pop200-runs1-0512.np: 18 wins
  models/ga/remote3/pop200-runs1-0315.np: 17 wins
  models/ga/remote3/pop200-runs1-0525.np: 17 wins
  models/ga/remote3/pop200-runs1-0382.np: 16 wins
  models/ga/remote3/pop200-runs1-0399.np: 16 wins
  models/ga/remote3/pop200-runs1-0361.np: 16 wins
  models/ga/remote3/pop200-runs1-0667.np: 15 wins
  models/ga/remote3/pop200-runs1-0377.np: 14 wins
  models/ga/remote3/pop200-runs1-0459.np: 14 wins
Finale results:
  Red: models/ga/remote3/pop200-runs1-0350.np
  Blue: models/ga/remote3/pop200-runs1-0334.np
  21:20
